Group,Strain.Toxin,Host_type,num
Rank4,BT_Cry1Ic1,Orders,1
Rank4,BT_Cry1Ic1,Species,1
Rank4,BT_Cry1Id1,Orders,1
Rank4,BT_Cry1Id1,Species,2
Rank4,BT_Cry1Ie1,Orders,1
Rank4,BT_Cry1Ie1,Species,3
Rank4,BT_Cry1Ie2,Orders,1
Rank4,BT_Cry1Ie2,Species,3
Rank4,BT_Cry1Ie4,Orders,1
Rank4,BT_Cry1Ie4,Species,2
Rank4,BT_Cry1Ie5,Orders,1
Rank4,BT_Cry1Ie5,Species,2
Rank4,BT_Cry1If1,Orders,1
Rank4,BT_Cry1If1,Species,1
Rank4,BT_Cry1Ig1,Orders,1
Rank4,BT_Cry1Ig1,Species,3
Rank4,BT_Cry1Ja1,Orders,1
Rank4,BT_Cry1Ja1,Species,1
Rank4,BT_Cry1Ja2,Orders,1
Rank4,BT_Cry1Ja2,Species,3
Rank4,BT_Cry1Jb1,Orders,1
Rank4,BT_Cry1Jb1,Species,2
Rank4,BT_Cry1Jc2,Orders,1
Rank4,BT_Cry1Jc2,Species,6
Rank4,BT_Cry1Jd1,Orders,1
Rank4,BT_Cry1Jd1,Species,1
Rank4,BT_Cry1La1,Orders,1
Rank4,BT_Cry1La1,Species,2
Rank4,BT_Cry1Na1,Orders,2
Rank4,BT_Cry1Na1,Species,9
Rank4,BT_Cry1Na3,Orders,3
Rank4,BT_Cry1Na3,Species,5
Rank4,BT_Cry1Nb1,Orders,1
Rank4,BT_Cry1Nb1,Species,4
Rank4,BT_Cry20Aa1,Orders,1
Rank4,BT_Cry20Aa1,Species,2
Rank4,BT_Cry20Ba2,Orders,1
Rank4,BT_Cry20Ba2,Species,1
Rank4,BT_Cry21Aa1,Orders,1
Rank4,BT_Cry21Aa1,Species,6
Rank4,BT_Cry21Aa2,Orders,1
Rank4,BT_Cry21Aa2,Species,1
Rank4,BT_Cry21Aa3,Orders,1
Rank4,BT_Cry21Aa3,Species,2
Rank4,BT_Cry21Fa1,Orders,1
Rank4,BT_Cry21Fa1,Species,2
Rank4,BT_Cry24Ca1,Orders,1
Rank4,BT_Cry24Ca1,Species,1
Rank4,BT_Cry27Aa1,Orders,1
Rank4,BT_Cry27Aa1,Species,3
Rank4,BT_Cry2Aa1,Orders,2
Rank4,BT_Cry2Aa1,Species,6
Rank4,BT_Cry2Aa11,Orders,1
Rank4,BT_Cry2Aa11,Species,3
Rank4,BT_Cry2Aa12,Orders,1
Rank4,BT_Cry2Aa12,Species,3
Rank4,BT_Cry2Aa13,Orders,1
Rank4,BT_Cry2Aa13,Species,1
Rank4,BT_Cry2Aa14,Orders,1
Rank4,BT_Cry2Aa14,Species,1
Rank4,BT_Cry2Aa17,Orders,1
Rank4,BT_Cry2Aa17,Species,1
Rank4,BT_Cry2Aa18,Orders,1
Rank4,BT_Cry2Aa18,Species,1
Rank4,BT_Cry2Aa3,Orders,1
Rank4,BT_Cry2Aa3,Species,2
Rank4,BT_Cry2Aa4,Orders,1
Rank4,BT_Cry2Aa4,Species,3
Rank4,BT_Cry2Ab1,Orders,2
Rank4,BT_Cry2Ab1,Species,7
Rank4,BT_Cry2Ab10,Orders,1
Rank4,BT_Cry2Ab10,Species,1
Rank4,BT_Cry2Ab13,Orders,2
Rank4,BT_Cry2Ab13,Species,2
Rank4,BT_Cry2Ab14,Orders,2
Rank4,BT_Cry2Ab14,Species,2
Rank4,BT_Cry2Ab25,Orders,2
Rank4,BT_Cry2Ab25,Species,2
Rank4,BT_Cry2Ab29,Orders,1
Rank4,BT_Cry2Ab29,Species,1
Rank4,BT_Cry2Ab30,Orders,1
Rank4,BT_Cry2Ab30,Species,1
Rank4,BT_Cry2Ab32,Orders,1
Rank4,BT_Cry2Ab32,Species,3
Rank4,BT_Cry2Ab4,Orders,1
Rank4,BT_Cry2Ab4,Species,4
Rank4,BT_Cry2Ab7,Orders,1
Rank4,BT_Cry2Ab7,Species,1
Rank4,BT_Cry2Ac1,Orders,1
Rank4,BT_Cry2Ac1,Species,2
Rank4,BT_Cry2Ac10,Orders,1
Rank4,BT_Cry2Ac10,Species,2
Rank4,BT_Cry2Ac11,Orders,1
Rank4,BT_Cry2Ac11,Species,1
Rank4,BT_Cry2Ac3,Orders,1
Rank4,BT_Cry2Ac3,Species,4
Rank4,BT_Cry2Ac5,Orders,1
Rank4,BT_Cry2Ac5,Species,1
Rank4,BT_Cry2Ac7,Orders,1
Rank4,BT_Cry2Ac7,Species,1
Rank4,BT_Cry2Ae1,Orders,1
Rank4,BT_Cry2Ae1,Species,4
Rank4,BT_Cry2Ag1,Orders,2
Rank4,BT_Cry2Ag1,Species,2
Rank4,BT_Cry2Ah4,Orders,1
Rank4,BT_Cry2Ah4,Species,4
Rank4,BT_Cry2Ak1,Orders,1
Rank4,BT_Cry2Ak1,Species,5
Rank4,BT_Cry2Al1,Orders,1
Rank4,BT_Cry2Al1,Species,2
Rank4,BT_Cry2Am1,Orders,1
Rank4,BT_Cry2Am1,Species,1
Rank4,BT_Cry2Ba1,Orders,1
Rank4,BT_Cry2Ba1,Species,4
Rank4,BT_Cry30Fa1,Orders,2
Rank4,BT_Cry30Fa1,Species,4
Rank4,BT_Cry30Ga1,Orders,2
Rank4,BT_Cry30Ga1,Species,2
Rank4,BT_Cry31Aa1,Orders,1
Rank4,BT_Cry31Aa1,Species,1
Rank4,BT_Cry31Aa6,Orders,1
Rank4,BT_Cry31Aa6,Species,1
Rank4,BT_Cry31Ab1,Orders,1
Rank4,BT_Cry31Ab1,Species,1
Rank4,BT_Cry31Ac1,Orders,1
Rank4,BT_Cry31Ac1,Species,1
Rank4,BT_Cry31Ad1,Orders,1
