Group,Accession,Num,Dataset,Mode
par,YBT-1520,5,Strains,soft
par,YC-10,5,Strains,soft
par,you1D-9,1,Strains,soft
par,you2D-3,1,Strains,soft
par,you2E-3,1,Strains,soft
par,you2F-3,1,Strains,soft
par,YWC2-8,2,Strains,soft
par,Ywc2-8,3,Strains,soft
par,ywc5-4,2,Strains,soft
par,YY1,1,Strains,soft
par,YZ71,1,Strains,soft
par,ZK1,1,Strains,soft
par,ZZQ-130,4,Strains,soft
rec,1.24,4,Strains,soft
rec,3-1-a,1,Strains,soft
rec,3-1-a,1,Strains,strict
rec,4G2,6,Strains,soft
rec,4Q2-72,1,Strains,soft
rec,4Q2-72,1,Strains,strict
rec,78-2,4,Strains,soft
rec,96-OK-85-24,3,Strains,soft
rec,A1462,3,Strains,soft
rec,AFS005140,8,Strains,soft
rec,AFS013213,8,Strains,soft
rec,AFS030866,7,Strains,soft
rec,AFS034708,3,Strains,soft
rec,AFS059039,8,Strains,soft
rec,AFS088016,8,Strains,soft
rec,AK8,4,Strains,soft
rec,AM65-52,4,Strains,soft
rec,ARP001,1,Strains,soft
rec,ARP001,1,Strains,strict
rec,ARP013,1,Strains,soft
rec,ARP013,1,Strains,strict
rec,ARP076,1,Strains,soft
rec,ARP095,1,Strains,soft
rec,ARP095,1,Strains,strict
rec,ARP096,1,Strains,soft
rec,ARP166,1,Strains,soft
rec,ARP188,1,Strains,soft
rec,ARP269,1,Strains,soft
rec,ARP269,1,Strains,strict
rec,ATX 13026,11,Strains,soft
rec,B-DLL,2,Strains,soft
rec,B-Pr-88,4,Strains,soft
rec,B3,1,Strains,soft
rec,B3,1,Strains,strict
rec,BGSC 4AE1,12,Strains,soft
rec,BGSC 4AO1,6,Strains,soft
rec,BGSC 4AP1,5,Strains,soft
rec,BGSC 4AX1,4,Strains,soft
rec,BGSC 4BF1,3,Strains,soft
rec,BGSC 4BS1,1,Strains,soft
rec,BGSC 4CB1,12,Strains,soft
rec,BGSC 4G1,12,Strains,soft
rec,BGSC 4G4,11,Strains,soft
rec,Bm59-2,2,Strains,soft
rec,BMP144,4,Strains,soft
rec,BR37,5,Strains,soft
rec,BR58,3,Strains,soft
rec,BT-59,4,Strains,soft
rec,Bt173,2,Strains,soft
rec,Bt185,4,Strains,soft
rec,Bt87,2,Strains,soft
rec,Btc001,1,Strains,soft
rec,Btc001,1,Strains,strict
rec,Bti,4,Strains,soft
rec,BtPGSI208,1,Strains,soft
rec,BTS02618A,1,Strains,soft
rec,BTS02618A,1,Strains,strict
rec,BtS02739C,2,Strains,soft
rec,BTy41,6,Strains,soft
rec,Bun1-14,4,Strains,soft
rec,BUPM97,1,Strains,soft
rec,BUPM97,1,Strains,strict
rec,C15,5,Strains,soft
rec,DAB-Bt1,3,Strains,soft
rec,DAB-Bt2,3,Strains,soft
rec,DAB-Bt3,4,Strains,soft
rec,DAB-Bt4,4,Strains,soft
rec,DAB-Bt5,4,Strains,soft
rec,DAB-Bt6,4,Strains,soft
rec,EG4961,1,Strains,soft
rec,EG5144,1,Strains,soft
rec,EG6346,1,Strains,soft
rec,FCC41,5,Strains,soft
rec,FDAARGOS_796,4,Strains,soft
rec,FPT-2,1,Strains,soft
rec,G25-44,3,Strains,soft
rec,g9,1,Strains,soft
rec,GCA_000161475.1,4,Assemblies,soft
rec,GCA_000161555.1,4,Assemblies,soft
rec,GCA_000161715.1,9,Assemblies,soft
rec,GCA_000292705.1,4,Assemblies,soft
rec,GCA_000468995.3,6,Assemblies,soft
rec,GCA_000600315.1,12,Assemblies,soft
rec,GCA_000774075.2,6,Assemblies,soft
rec,GCA_000878525.1,4,Assemblies,soft
rec,GCA_001182785.1,9,Assemblies,soft
rec,GCA_001402735.1,3,Assemblies,soft
rec,GCA_001595725.1,2,Assemblies,soft
rec,GCA_001685565.1,3,Assemblies,soft
rec,GCA_001968805.1,3,Assemblies,soft
rec,GCA_002146315.1,12,Assemblies,soft
rec,GCA_002146405.1,6,Assemblies,soft
rec,GCA_002146425.1,5,Assemblies,soft
rec,GCA_002146615.1,4,Assemblies,soft
rec,GCA_002147055.1,3,Assemblies,soft
rec,GCA_002147085.1,12,Assemblies,soft
rec,GCA_002147105.1,12,Assemblies,soft
rec,GCA_002147375.1,12,Assemblies,soft
rec,GCA_002148015.1,1,Assemblies,soft
rec,GCA_002558015.1,7,Assemblies,soft
rec,GCA_002558525.1,7,Assemblies,soft
rec,GCA_002564505.1,7,Assemblies,soft
rec,GCA_002571305.1,7,Assemblies,soft
rec,GCA_002584205.1,3,Assemblies,soft
rec,GCA_002586085.1,5,Assemblies,soft
rec,GCA_002893515.1,4,Assemblies,soft
rec,GCA_003546665.1,4,Assemblies,soft
rec,GCA_003626955.1,4,Assemblies,soft
rec,GCA_003991175.1,5,Assemblies,soft
rec,GCA_004194435.2,4,Assemblies,soft
rec,GCA_004354265.1,4,Assemblies,soft
rec,HD-525,12,Strains,soft
rec,HD-789,4,Strains,soft
rec,HD29,10,Strains,soft
rec,HD522,4,Strains,soft
rec,HD567-61-9,1,Strains,soft
rec,HD567-61-9,1,Strains,strict
rec,HD868,4,Strains,soft
rec,HS18-1,10,Strains,soft
rec,Hu4-2,6,Strains,soft
rec,I622,1,Strains,soft
rec,I622,1,Strains,strict
rec,IBL 200,10,Strains,soft
rec,IBL00427,4,Strains,soft
rec,INTA Fr7-4,3,Strains,soft
rec,JC291,1,Strains,soft
rec,jegathesan 367,5,Strains,soft
rec,JW-1,4,Strains,soft
rec,K1,3,Strains,soft
rec,KNU-26,4,Strains,soft
