ID	Num_tox	Tox_type	Domain	Unknown_type	Dataset
107	0	Majs	domain2	major	filt_partials
107	1	Recs	domain2	major	raw_data
107	1	Mins	domain2	major	raw_data
107	0	Majs	domain2	major	raw_data
108	1	Recs	domain3	minor	filt_partials
108	0	Mins	domain3	minor	filt_partials
108	1	Majs	domain3	minor	filt_partials
108	1	Recs	domain3	minor	raw_data
108	0	Mins	domain3	minor	raw_data
108	1	Majs	domain3	minor	raw_data
109	1	Recs	domain3	no	filt_partials
109	2	Mins	domain3	no	filt_partials
109	1	Majs	domain3	no	filt_partials
109	1	Recs	domain3	no	raw_data
109	2	Mins	domain3	no	raw_data
109	1	Majs	domain3	no	raw_data
110	1	Recs	domain2	minor	filt_partials
110	0	Mins	domain2	minor	filt_partials
110	1	Majs	domain2	minor	filt_partials
110	1	Recs	domain2	minor	raw_data
110	0	Mins	domain2	minor	raw_data
110	1	Majs	domain2	minor	raw_data
111	1	Recs	domain1	no	raw_data
111	1	Mins	domain1	no	raw_data
111	1	Majs	domain1	no	raw_data
112	1	Recs	domain3	no	filt_partials
112	2	Mins	domain3	no	filt_partials
112	1	Majs	domain3	no	filt_partials
112	1	Recs	domain3	no	raw_data
112	2	Mins	domain3	no	raw_data
112	1	Majs	domain3	no	raw_data
113	1	Recs	domain3	major	filt_partials
113	1	Mins	domain3	major	filt_partials
113	0	Majs	domain3	major	filt_partials
113	1	Recs	domain3	major	raw_data
113	1	Mins	domain3	major	raw_data
113	0	Majs	domain3	major	raw_data
114	1	Recs	domain2	minor	raw_data
114	0	Mins	domain2	minor	raw_data
114	1	Majs	domain2	minor	raw_data
115	2	Recs	domain1	minor	raw_data
115	0	Mins	domain1	minor	raw_data
115	1	Majs	domain1	minor	raw_data
116	2	Recs	domain1	no	filt_partials
116	1	Mins	domain1	no	filt_partials
116	2	Majs	domain1	no	filt_partials
116	2	Recs	domain1	no	raw_data
116	1	Mins	domain1	no	raw_data
116	2	Majs	domain1	no	raw_data
117	1	Recs	domain3	minor	filt_partials
117	0	Mins	domain3	minor	filt_partials
117	1	Majs	domain3	minor	filt_partials
117	1	Recs	domain3	minor	raw_data
117	0	Mins	domain3	minor	raw_data
117	1	Majs	domain3	minor	raw_data
118	1	Recs	domain1	no	filt_partials
118	1	Mins	domain1	no	filt_partials
118	2	Majs	domain1	no	filt_partials
118	1	Recs	domain1	no	raw_data
118	1	Mins	domain1	no	raw_data
118	2	Majs	domain1	no	raw_data
119	1	Recs	domain1	no	filt_partials
119	1	Mins	domain1	no	filt_partials
119	1	Majs	domain1	no	filt_partials
119	1	Recs	domain1	no	raw_data
119	1	Mins	domain1	no	raw_data
