Tox_type	Accession	Host_type	Group	Mode	Num_hosts	Trim_flag
par_strict	GCA_002584205.1	Species	Rank4	Assemblies	2	Trimmed
par_strict	GCA_002584205.1	Species	Rank4	Assemblies	2	Untrimmed
par_strict	GCA_002146755.1	Species	Rank4	Assemblies	0	Trimmed
par_strict	GCA_002146755.1	Species	Rank4	Assemblies	0	Untrimmed
par_strict	GCA_000341665.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_000341665.1	Species	Rank3	Assemblies	95	Untrimmed
par_strict	GCA_002574115.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002574115.1	Species	Rank3	Assemblies	90	Untrimmed
par_strict	GCA_002146845.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002146845.1	Species	Rank3	Assemblies	25	Untrimmed
par_strict	GCA_002550215.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002550215.1	Species	Rank3	Assemblies	15	Untrimmed
par_strict	GCA_002571305.1	Species	Rank3	Assemblies	4	Trimmed
par_strict	GCA_002571305.1	Species	Rank3	Assemblies	4	Untrimmed
par_strict	GCA_002147605.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002147605.1	Species	Rank3	Assemblies	82	Untrimmed
par_strict	GCA_000161715.1	Species	Rank3	Assemblies	18	Trimmed
par_strict	GCA_000161715.1	Species	Rank3	Assemblies	63	Untrimmed
par_strict	GCA_002564505.1	Species	Rank3	Assemblies	7	Trimmed
par_strict	GCA_002564505.1	Species	Rank3	Assemblies	7	Untrimmed
par_strict	GCA_002148015.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002148015.1	Species	Rank3	Assemblies	0	Untrimmed
par_strict	GCA_002147185.1	Species	Rank3	Assemblies	2	Trimmed
par_strict	GCA_002147185.1	Species	Rank3	Assemblies	65	Untrimmed
par_strict	GCA_002147255.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002147255.1	Species	Rank3	Assemblies	87	Untrimmed
par_strict	GCA_002243685.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_002243685.1	Species	Rank3	Assemblies	36	Untrimmed
par_strict	GCA_002147895.1	Species	Rank3	Assemblies	3	Trimmed
par_strict	GCA_002147895.1	Species	Rank3	Assemblies	3	Untrimmed
par_strict	GCA_002147635.1	Species	Rank3	Assemblies	2	Trimmed
par_strict	GCA_002147635.1	Species	Rank3	Assemblies	66	Untrimmed
par_strict	GCA_000747545.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_000747545.1	Species	Rank3	Assemblies	89	Untrimmed
par_strict	GCA_002147085.1	Species	Rank3	Assemblies	26	Trimmed
par_strict	GCA_002147085.1	Species	Rank3	Assemblies	73	Untrimmed
par_strict	GCA_000969665.1	Species	Rank3	Assemblies	0	Trimmed
par_strict	GCA_000969665.1	Species	Rank3	Assemblies	72	Untrimmed
par_strict	GCA_002147575.1	Species	Rank3	Assemblies	2	Trimmed
par_strict	GCA_002147575.1	Species	Rank3	Assemblies	75	Untrimmed
par_strict	GCA_002147315.1	Species	Rank3	Assemblies	18	Trimmed
par_strict	GCA_002147315.1	Species	Rank3	Assemblies	63	Untrimmed
par_strict	GCA_002147325.1	Species	Rank3	Assemblies	11	Trimmed
par_strict	GCA_002147325.1	Species	Rank3	Assemblies	63	Untrimmed
par_strict	GCA_000468995.3	Species	Rank3	Assemblies	2	Trimmed
par_strict	GCA_000468995.3	Species	Rank3	Assemblies	73	Untrimmed
par_strict	GCA_002586085.1	Species	Rank3	Assemblies	4	Trimmed
