Strain	Num	Rank
ATCC 14706	1	Rank3
wu1H-3	1	Rank4
wu1H-3	1	Rank3
SSy60-b	2	Rank4
SSy60-b	1	Rank3
14	1	Rank4
14	1	Rank3
FY-2	1	Rank4
FY-2	1	Rank3
BGSC 4BU1	1	Rank4
BGSC 4BU1	1	Rank3
NAIMCC-B-00167	1	Rank4
NAIMCC-B-00167	1	Rank3
G25-128	1	Rank4
G25-128	1	Rank3
ARP215	1	Rank4
ARP215	1	Rank3
INA288	2	Rank4
INA288	2	Rank3
B-SC5	1	Rank4
B-SC5	1	Rank3
S976	1	Rank4
S976	1	Rank3
S3299-1	1	Rank4
S3299-1	1	Rank3
MHY1.10	1	Rank4
MHY1.10	1	Rank3
92-10	1	Rank4
92-10	1	Rank3
4F3	3	Rank4
4F3	3	Rank3
4L1	3	Rank4
4L1	3	Rank3
AFS022658	1	Rank4
AFS022658	1	Rank3
AFS084862	1	Rank4
AFS084862	1	Rank3
AFS061177	1	Rank4
AFS061177	1	Rank3
Sbt029	2	Rank4
Sbt029	2	Rank3
BGSC 4BV1	3	Rank4
BGSC 4BV1	3	Rank3
GS27	1	Rank4
GS27	1	Rank3
S2480-1	1	Rank4
S2480-1	1	Rank3
PS198Q7	1	Rank4
PS198Q7	1	Rank3
CPB012	1	Rank4
CPB012	1	Rank3
S1478-1	1	Rank4
S1478-1	1	Rank3
ARP067	1	Rank4
ARP067	1	Rank3
SDS-502	1	Rank4
SDS-502	1	Rank3
QZL85	1	Rank4
QZL85	1	Rank3
L_1B0_5	1	Rank4
L_1B0_5	1	Rank3
L_1B0_8	1	Rank4
L_1B0_8	1	Rank3
s8	1	Rank4
s8	1	Rank3
1230	1	Rank4
1230	1	Rank3
