ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
52	domain3	domain1	Rec	known	purifying	signif	0.574	0.18899999999999997	14	1	2	positive	5	0	0	mB	0	3	0	passed	Different	0.0
52	domain3	domain1	Par	known	purifying	signif	0.55	0.222	14	1	2	positive	5	0	0	mB	1	70	0	passed	Different	0.0
52	domain3	domain2	Rec	known	non-signif	non-signif	0.209	0.419	8	1	2	relaxation	0	0	1	mB	0	32	0	passed	Different	0.0
52	domain3	domain2	Par	known	non-signif	signif	0.198	0.861	8	1	2	relaxation	0	0	1	mB	3	31	0	passed	Different	0.0
53	domain3	domain3	Rec	minor	purifying	non-signif	0.285	0.10300000000000001	9	1	1	positive	1	0	0	mB	3	21	0	passed	Same	0.0
53	domain3	domain1	Rec	known	non-signif	non-signif	0.258	0.45399999999999996	8	1	2	relaxation	0	0	1	mB	0	71	0	passed	Same	0.0
53	domain3	domain1	Par	known	non-signif	non-signif	0.251	0.711	8	1	2	relaxation	0	0	1	mB	0	71	0	passed	Same	0.0
53	domain3	domain2	Rec	known	non-signif	signif	0.377	1.55	29	1	3	positive	1	0	0	mB	1	80	0	passed	Same	0.0
53	domain3	domain2	Par	known	purifying	non-signif	0.379	0.467	29	2	3	positive	1	0	0	mB	0	66	0	passed	Same	0.0
56	domain1	domain1	Rec	minor	purifying	non-signif	0.225	0.179	7	1	1	relaxation	0	0	1	mB	0	2	0	passed	Same	1.0
56	domain1	domain2	Rec	known	purifying	signif	0.22699999999999998	0.061	8	1	3	positive	0	0	0	mB	207	0	0	not_passed	Same	1.0
56	domain1	domain2	Par	known	purifying	non-signif	0.205	0.176	8	2	3	positive	0	0	0	mB	0	94	0	not_passed	Same	1.0
56	domain1	domain3	Rec	known	purifying	non-signif	0.33399999999999996	0.39399999999999996	31	1	6	non-signif	0	0	0	mB	1	34	0	passed	Same	1.0
60	domain3	domain3	Rec	known	non-signif	signif	0.308	1.2919999999999998	7	2	3	positive	6	0	0	mB	2	41	0	passed	NA	NA
